Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/prompts [seed],12,0,15,15.622775000034986,13.846599991666153,18.734300014330074,34.0,54.11708390185054,0.0,16,16,16,16,17,19,19,19,19,19,19
PUT,PUT /v1/optimize/config,1,0,31.68240000377409,31.68240000377409,31.68240000377409,31.68240000377409,507.0,4.509756991820879,0.0,32,32,32,32,32,32,32,32,32,32,32
,Aggregated,13,0,16,16.85813076955338,13.846599991666153,31.68240000377409,70.38461538461539,58.62684089367142,0.0,16,16,16,17,19,32,32,32,32,32,32
