Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /optimize [cold],5,0,7400,7485.714840010041,3015.6077000137884,12547.972100001061,790.2,0.39290696393885094,0.0,7400,11000,11000,13000,13000,13000,13000,13000,13000,13000,13000
POST,POST /prompts [seed],12,0,13,12.787200001184829,11.082199984230101,15.079400007380173,34.0,0.9429767134532423,0.0,13,13,13,13,15,15,15,15,15,15,15
PUT,PUT /optimize/config,1,0,20.932799990987405,20.932799990987405,20.932799990987405,20.932799990987405,507.0,0.07858139278777018,0.0,21,21,21,21,21,21,21,21,21,21,21
,Aggregated,18,0,13,2089.0529666697453,11.082199984230101,12547.972100001061,270.3333333333333,1.4144650701798633,0.0,13,15,3000,3800,11000,13000,13000,13000,13000,13000,13000
