Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /optimize [hot],964,0,20,30.016994813331056,9.861200000159442,234.28259999491274,753.0,68.61946835160887,0.0,20,25,28,30,44,100,190,200,230,230,230
POST,POST /prompts [seed],12,0,14,14.540891660241565,12.682699976721779,16.975499980617315,34.0,0.8541842533395296,0.0,14,14,16,16,16,17,17,17,17,17,17
PUT,PUT /optimize/config,1,0,22.853000002214685,22.853000002214685,22.853000002214685,22.853000002214685,507.0,0.07118202111162747,0.0,23,23,23,23,23,23,23,23,23,23,23
,Aggregated,977,0,20,29.81957697029299,9.861200000159442,234.28259999491274,743.9170931422723,69.54483462606004,0.0,20,24,28,30,44,100,190,200,230,230,230
