Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /optimize [hot],269,0,14,17.581401114762315,11.123499978566542,97.4757999938447,753.0,19.18909392932623,0.0,14,15,16,17,18,23,95,97,97,97,97
POST,POST /prompts [seed],12,0,15,15.748158334948434,13.262599997688085,17.968500003917143,34.0,0.8560190600442928,0.0,16,16,17,17,18,18,18,18,18,18,18
PUT,PUT /optimize/config,1,0,24.855800002114847,24.855800002114847,24.855800002114847,24.855800002114847,507.0,0.07133492167035774,0.0,25,25,25,25,25,25,25,25,25,25,25
,Aggregated,282,0,14,17.5291865244417,11.123499978566542,97.4757999938447,721.531914893617,20.116447911040883,0.0,14,16,17,17,18,23,95,97,97,97,97
