Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/prompts [hot],503,0,140,143.17011172933204,5.528600013349205,389.28319996921346,4161.0,35.86450360783592,0.0,140,170,180,190,210,240,270,280,390,390,390
GET,GET /v1/prompts/search [hot],369,0,150,142.86265718223157,5.09519997285679,327.9720999998972,5115.0,26.31014280574842,0.0,150,170,180,190,210,250,270,290,330,330,330
GET,GET /v1/prompts/{project}/{name} [hot],693,0,140,143.56630548437008,5.252400005701929,381.95260002976283,425.0,49.41173161079581,0.0,140,170,190,200,220,250,270,300,380,380,380
GET,GET /v1/prompts/{project}/{name}/versions [hot],241,0,140,143.14065186579276,5.38989994674921,339.6191999781877,272.0,17.183589203754387,0.0,140,170,190,200,220,240,280,300,340,340,340
POST,POST /v1/optimize [hot],151,0,220,229.16939006910184,8.181000011973083,449.04390000738204,656.0,10.766481202352335,0.0,220,260,290,300,340,360,420,440,450,450,450
POST,POST /v1/prompts [seed],12,0,9,12.407741669449024,8.46590002765879,46.31929995957762,34.0,0.8556144001869405,0.0,9,10,11,11,11,46,46,46,46,46,46
PUT,PUT /v1/optimize/config,1,0,18.992899975273758,18.992899975273758,18.992899975273758,18.992899975273758,507.0,0.07130120001557837,0.0,19,19,19,19,19,19,19,19,19,19,19
,Aggregated,1970,0,150,148.9805569547538,5.09519997285679,449.04390000738204,2254.043654822335,140.46336403068938,0.0,150,170,190,200,230,260,310,340,440,450,450
