Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/prompts [hot],635,0,22,27.162974174079434,3.783399995882064,93.38049998041242,4161.0,45.28920702895554,0.0,22,34,39,43,54,65,78,81,93,93,93
GET,GET /v1/prompts/search [hot],486,0,22,28.269411521243246,3.7953000282868743,102.21790004288778,5115.0,34.66229073397227,0.0,22,34,42,45,53,68,83,86,100,100,100
GET,GET /v1/prompts/{project}/{name} [hot],770,0,19,26.04811259744955,3.5254000104032457,103.38720004074275,425.0,54.91762112172561,0.0,19,31,39,42,52,65,76,82,100,100,100
GET,GET /v1/prompts/{project}/{name}/versions [hot],313,0,22,26.081874440706812,3.709399956278503,90.4404999455437,272.0,22.3236563780521,0.0,22,31,38,40,51,60,72,77,90,90,90
POST,POST /v1/optimize [hot],101,0,45,45.113810891917176,6.183400051668286,115.81089999526739,656.0,7.2034801731094635,0.0,45,59,66,70,85,93,110,110,120,120,120
POST,POST /v1/prompts [seed],12,0,6,6.441166668082587,5.714000028092414,7.77850003214553,34.0,0.8558590304684511,0.0,6,6,7,7,7,8,8,8,8,8,8
PUT,PUT /v1/optimize/config,1,0,13.8928999658674,13.8928999658674,13.8928999658674,13.8928999658674,507.0,0.07132158587237092,0.0,14,14,14,14,14,14,14,14,14,14,14
,Aggregated,2318,0,22,27.547790250176245,3.5254000104032457,115.81089999526739,2419.1898188093182,165.3234360521558,0.0,22,33,40,44,55,67,80,86,110,120,120
