Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /prompts,74,0,86,254.43968243347922,11.540700012119487,3727.111199987121,10334.878378378378,5.2382637800438365,0.0,110,240,320,350,550,770,1700,3700,3700,3700,3700
GET,GET /prompts/search,7,0,7000,5099.748228564359,233.37530001299456,7516.447400004836,257425.0,0.49551143865279534,0.0,7000,7000,7100,7100,7500,7500,7500,7500,7500,7500,7500
POST,POST /optimize,6,0,140,777.1018333296524,89.19009999954142,3527.3096000018995,768.0,0.4247240902738246,0.0,280,280,490,490,3500,3500,3500,3500,3500,3500,3500
POST,POST /prompts,20,0,190,629.4823599979281,51.14509997656569,4669.783499994082,400.0,1.4157469675794152,0.0,230,320,370,450,3800,4700,4700,4700,4700,4700,4700
POST,POST /prompts [seed],12,0,20,20.138691671794124,17.54830000572838,22.577800002181903,34.0,0.8494481805476491,0.0,20,20,21,21,22,23,23,23,23,23,23
PUT,PUT /optimize/config,1,0,37.77520000585355,37.77520000585355,37.77520000585355,37.77520000585355,507.0,0.07078734837897076,0.0,38,38,38,38,38,38,38,38,38,38,38
PUT,PUT /prompts/{project}/{name},20,0,180,270.35523500235286,30.38179999566637,1369.9765000201296,254.0,1.4157469675794152,0.0,180,210,350,390,540,1400,1400,1400,1400,1400,1400
,Aggregated,140,0,140,553.325546429135,11.540700012119487,7516.447400004836,18466.85,9.910228773055907,0.0,140,240,330,390,760,3800,7000,7100,7500,7500,7500
