Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/prompts,365,0,210,279.80966630267386,4.15450002765283,1426.9684999599122,9117.728767123288,30.975165132861587,0.0,210,350,430,470,550,630,970,990,1400,1400,1400
GET,GET /v1/prompts/search,92,0,560,550.0230978213949,6.223700009286404,1315.7961000106297,74142.21739130435,7.807438882803469,0.0,590,770,820,840,1000,1100,1200,1300,1300,1300,1300
POST,POST /v1/optimize,23,0,320,352.8951695593803,12.367999996058643,825.6103999447078,656.0,1.9518597207008672,0.0,320,520,570,580,650,710,830,830,830,830,830
POST,POST /v1/prompts,78,0,210,285.2695871753475,10.549700004048645,1036.6555000073276,400.0,6.619350357159463,0.0,210,330,460,520,680,800,900,1000,1000,1000,1000
POST,POST /v1/prompts [seed],12,0,7,6.8289416570526855,5.697199958376586,7.693599967751652,34.0,1.0183615934091481,0.0,7,7,7,7,8,8,8,8,8,8,8
PUT,PUT /v1/optimize/config,1,0,15.166699944529682,15.166699944529682,15.166699944529682,15.166699944529682,507.0,0.08486346611742901,0.0,15,15,15,15,15,15,15,15,15,15,15
PUT,PUT /v1/prompts/{project}/{name},73,0,200,274.2077219172394,11.185399955138564,818.1883000070229,254.0,6.195033026572317,0.0,200,380,450,520,580,710,780,820,820,820,820
,Aggregated,644,0,240,315.55053975058195,4.15450002765283,1426.9684999599122,15861.490683229813,54.652072179624284,0.0,240,390,470,530,680,840,1000,1100,1400,1400,1400
