Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /optimize [hot],273,0,7,9.410179488151078,5.031200009398162,54.21160001424141,830.0,19.496682059018685,0.0,7,8,9,10,11,19,51,54,54,54,54
POST,POST /prompts [seed],12,0,6,6.4353666578729944,5.8351999905426055,7.424699986586347,34.0,0.8569970135832389,0.0,6,7,7,7,7,7,7,7,7,7,7
PUT,PUT /optimize/config,1,0,14.48129999334924,14.48129999334924,14.48129999334924,14.48129999334924,507.0,0.07141641779860324,0.0,14,14,14,14,14,14,14,14,14,14,14
,Aggregated,286,0,7,9.303093357178565,5.031200009398162,54.21160001424141,795.472027972028,20.425095490400526,0.0,7,8,8,9,11,19,51,54,54,54,54
