Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/prompts [hot],395,0,8,9.334730126827225,3.7956999731250107,70.10040001478046,4131.0,28.128905851406376,0.0,8,9,10,11,14,19,32,67,70,70,70
GET,GET /v1/prompts/search [hot],308,0,8,9.20355389448028,3.786300017964095,72.36839999677613,5115.0,21.933425322109276,0.0,8,9,10,11,13,18,33,70,72,72,72
GET,GET /v1/prompts/{project}/{name} [hot],470,0,7,8.307415318918078,3.3100000000558794,63.333500002045184,425.0,33.46983734217974,0.0,7,8,10,11,13,16,21,44,63,63,63
GET,GET /v1/prompts/{project}/{name}/versions [hot],193,0,7,9.09798756426374,3.56620000093244,51.738299982389435,272.0,13.743997036256786,0.0,7,8,10,11,15,22,31,51,52,52,52
POST,POST /v1/optimize [hot],57,0,12,15.640212280630836,6.0477000079117715,59.36149999615736,830.0,4.0591079329877555,0.0,12,16,17,19,23,50,56,59,59,59,59
POST,POST /v1/prompts [seed],12,0,7,7.162500000655807,6.422599981306121,7.833900017431006,34.0,0.8545490385237381,0.0,7,7,7,7,8,8,8,8,8,8,8
PUT,PUT /v1/optimize/config,1,0,16.579999995883554,16.579999995883554,16.579999995883554,16.579999995883554,507.0,0.07121241987697817,0.0,17,17,17,17,17,17,17,17,17,17,17
,Aggregated,1436,0,8,9.175718592890522,3.3100000000558794,72.36839999677613,2442.6434540389973,102.26103494334065,0.0,8,9,10,11,14,19,32,52,71,72,72
