Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /optimize [cold],2,0,3300,7144.589100003941,3274.135899991961,11015.04230001592,1103.5,0.17827204092836194,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
POST,POST /prompts [seed],12,0,14,14.621783331676852,12.828399980207905,17.21489999908954,34.0,1.0696322455701717,0.0,15,15,16,16,17,17,17,17,17,17,17
PUT,PUT /optimize/config,1,0,24.303499987581745,24.303499987581745,24.303499987581745,24.303499987581745,507.0,0.08913602046418097,0.0,24,24,24,24,24,24,24,24,24,24,24
,Aggregated,15,0,15,965.9295399983724,12.828399980207905,11015.04230001592,208.13333333333333,1.3370403069627146,0.0,15,16,17,24,3300,11000,11000,11000,11000,11000,11000
