Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /prompts [seed],12,0,22,22.471658334931515,18.475300021236762,25.37389998906292,34.0,39.17798818705184,0.0,23,23,25,25,25,25,25,25,25,25,25
PUT,PUT /optimize/config,1,0,34.63689997442998,34.63689997442998,34.63689997442998,34.63689997442998,507.0,3.2648323489209865,0.0,35,35,35,35,35,35,35,35,35,35,35
,Aggregated,13,0,23,23.407446153354474,18.475300021236762,34.63689997442998,70.38461538461539,42.44282053597283,0.0,23,24,25,25,25,35,35,35,35,35,35
