Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/prompts [seed],12,0,22,22.124233333064087,21.187300008023158,24.445400020340458,34.0,39.212448473506946,0.0,22,22,23,23,23,24,24,24,24,24,24
PUT,PUT /v1/optimize/config,1,0,37.603999982820824,37.603999982820824,37.603999982820824,37.603999982820824,507.0,3.2677040394589123,0.0,38,38,38,38,38,38,38,38,38,38,38
,Aggregated,13,0,22,23.314984613814605,21.187300008023158,37.603999982820824,70.38461538461539,42.48015251296586,0.0,22,23,23,23,24,38,38,38,38,38,38
