Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/prompts [hot],393,0,10,11.039386768221059,5.566500010900199,64.16049998369999,4161.0,27.972447411664252,0.0,10,11,12,13,15,19,23,46,64,64,64
GET,GET /v1/prompts/search [hot],298,0,10,10.42052617393459,5.2084000199101865,46.306800009915605,5115.0,21.210659869404445,0.0,10,11,12,13,15,19,20,22,46,46,46
GET,GET /v1/prompts/{project}/{name} [hot],472,0,9,10.573627543635666,4.9962000048253685,56.72349999076687,425.0,33.59540757838556,0.0,9,11,12,13,16,18,22,48,57,57,57
GET,GET /v1/prompts/{project}/{name}/versions [hot],199,0,9,9.933013065037173,5.139300017617643,22.597100003622472,272.0,14.164165483260016,0.0,9,11,12,12,14,17,19,20,23,23,23
POST,POST /v1/optimize [hot],57,0,14,16.709333333174552,8.339799998793751,60.79310001223348,941.0,4.057072525355884,0.0,14,16,20,20,22,38,53,61,61,61,61
POST,POST /v1/prompts [seed],12,0,12,11.976441669200236,10.577900015050545,14.31520000915043,34.0,0.8541205316538703,0.0,12,12,13,13,13,14,14,14,14,14,14
PUT,PUT /v1/optimize/config,1,0,23.92209999379702,23.92209999379702,23.92209999379702,23.92209999379702,507.0,0.07117671097115585,0.0,24,24,24,24,24,24,24,24,24,24,24
,Aggregated,1432,0,10,10.845872206911288,4.9962000048253685,64.16049998369999,2422.3624301675977,101.92505011069518,0.0,10,11,12,13,16,19,22,27,62,64,64
