Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/optimize [cold],2,0,3202.417299966328,6985.016649967292,3202.417299966328,10767.615999968257,736.0,0.1836009847460921,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
POST,POST /v1/prompts [seed],12,0,9,8.708525007629456,7.927500002551824,9.862300008535385,34.0,1.1016059084765526,0.0,9,9,9,9,10,10,10,10,10,10,10
PUT,PUT /v1/optimize/config,1,0,17.984699981752783,17.984699981752783,17.984699981752783,17.984699981752783,507.0,0.09180049237304605,0.0,18,18,18,18,18,18,18,18,18,18,18
,Aggregated,15,0,9,939.5013533338594,7.927500002551824,10767.615999968257,159.13333333333333,1.3770073855956906,0.0,9,9,10,18,3200,11000,11000,11000,11000,11000,11000
