Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/optimize [hot],277,0,12,13.518698916443546,8.390799979679286,54.88139999215491,941.0,19.757322343225336,0.0,12,13,13,14,16,20,49,53,55,55,55
POST,POST /v1/prompts [seed],12,0,13,13.168841668327028,10.564399999566376,18.067500001052395,34.0,0.8559128812949605,0.0,13,13,13,13,16,18,18,18,18,18,18
PUT,PUT /v1/optimize/config,1,0,24.38109999638982,24.38109999638982,24.38109999638982,24.38109999638982,507.0,0.0713260734412467,0.0,24,24,24,24,24,24,24,24,24,24,24
,Aggregated,290,0,12,13.541678620245436,8.390799979679286,54.88139999215491,901.9724137931034,20.684561297961544,0.0,12,13,13,14,16,20,49,53,55,55,55
