Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /optimize [hot],276,0,9,13.403675361706005,6.126599997514859,88.03980000084266,734.0,19.748958236003336,0.0,9,10,13,14,20,37,75,85,88,88,88
POST,POST /prompts [seed],12,0,8,8.351758328596285,7.51619998482056,9.22300000092946,34.0,0.8586503580871016,0.0,9,9,9,9,9,9,9,9,9,9,9
PUT,PUT /optimize/config,1,0,17.66230000066571,17.66230000066571,17.66230000066571,17.66230000066571,507.0,0.07155419650725846,0.0,18,18,18,18,18,18,18,18,18,18,18
,Aggregated,289,0,9,13.208642905794735,6.126599997514859,88.03980000084266,704.1487889273357,20.679162790597697,0.0,9,10,13,14,20,37,75,85,88,88,88
