Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/optimize [hot],964,0,15,23.99125809101842,6.0199000290594995,202.42559997132048,656.0,68.79266290369108,0.0,15,21,26,30,56,72,110,130,200,200,200
POST,POST /v1/prompts [seed],12,0,8,8.275591666460969,7.653800013940781,9.083600016310811,34.0,0.8563402021206359,0.0,8,8,9,9,9,9,9,9,9,9,9
PUT,PUT /v1/optimize/config,1,0,18.168599985074252,18.168599985074252,18.168599985074252,18.168599985074252,507.0,0.071361683510053,0.0,18,18,18,18,18,18,18,18,18,18,18
,Aggregated,977,0,15,23.792270726432307,6.0199000290594995,202.42559997132048,648.2077789150461,69.72036478932178,0.0,15,21,26,30,55,72,110,130,200,200,200
