Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /optimize [hot],533,0,12,15.379741838801213,6.3544999866280705,94.26049998728558,734.0,37.867558573023906,0.0,12,14,15,18,24,35,72,79,94,94,94
POST,POST /prompts [seed],12,0,8,8.26917499944102,7.428500015521422,10.195300012128428,34.0,0.8525529134639529,0.0,8,8,9,9,10,10,10,10,10,10,10
PUT,PUT /optimize/config,1,0,18.313600012334064,18.313600012334064,18.313600012334064,18.313600012334064,507.0,0.07104607612199608,0.0,18,18,18,18,18,18,18,18,18,18,18
,Aggregated,546,0,11,15.228839011147752,6.3544999866280705,94.26049998728558,718.1996336996338,38.791157562609854,0.0,11,14,15,18,24,33,72,79,94,94,94
