Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/prompts [hot],360,0,11,12.601189998612325,6.225299992365763,129.75559997721575,4161.0,25.653101673424842,0.0,11,13,14,15,18,21,31,34,130,130,130
GET,GET /v1/prompts/search [hot],279,0,10,12.15402222220539,6.68049999512732,134.23630001489073,5115.0,19.881153796904254,0.0,10,13,14,14,18,20,26,36,130,130,130
GET,GET /v1/prompts/{project}/{name} [hot],482,0,10,11.80159916944997,6.213099986780435,99.28320001927204,425.0,34.346652796085486,0.0,10,12,13,14,17,21,26,29,99,99,99
GET,GET /v1/prompts/{project}/{name}/versions [hot],201,0,10,12.657361691794474,5.954699998255819,104.04549998929724,272.0,14.322981767662204,0.0,10,12,14,14,18,22,27,100,100,100,100
POST,POST /v1/optimize [hot],50,0,20,24.36687200097367,11.07789998059161,99.64990001753904,753.0,3.5629307879756724,0.0,21,26,27,30,32,33,100,100,100,100,100
POST,POST /v1/prompts [seed],12,0,15,15.77874999929918,13.091900007566437,19.938899989938363,34.0,0.8551033891141614,0.0,16,16,18,18,18,20,20,20,20,20,20
PUT,PUT /v1/optimize/config,1,0,25.56360000744462,25.56360000744462,25.56360000744462,25.56360000744462,507.0,0.07125861575951345,0.0,26,26,26,26,26,26,26,26,26,26,26
,Aggregated,1385,0,11,12.702637761205079,5.954699998255819,134.23630001489073,2327.171119133574,98.69318282692613,0.0,11,13,14,15,19,22,30,36,130,130,130
