Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /prompts [hot],640,0,18,20.095270311912827,6.5814999979920685,97.65520002110861,4161.0,45.644654599773226,0.0,18,21,25,27,32,38,52,75,98,98,98
GET,GET /prompts/search [hot],501,0,19,20.250058083986946,6.269599980441853,97.41560000111349,5115.0,35.73120617888498,0.0,19,22,25,26,32,36,44,77,97,97,97
GET,GET /prompts/{project}/{name} [hot],829,0,18,20.329840410048867,6.176700000651181,96.98699999717064,425.0,59.12409166126876,0.0,18,22,25,27,33,36,48,66,97,97,97
GET,GET /prompts/{project}/{name}/versions [hot],341,0,18,21.081690028971444,6.2049999833106995,97.1441000001505,272.0,24.320042528941674,0.0,18,22,25,28,34,42,73,76,97,97,97
POST,POST /optimize [hot],104,0,33,36.10298750041133,11.367900006007403,115.11710000922903,753.0,7.417256372463149,0.0,33,40,45,48,53,68,97,99,120,120,120
POST,POST /prompts [seed],12,0,15,18.088133333852358,12.945700000273064,46.44590002135374,34.0,0.855837273745748,0.0,16,16,17,17,19,46,46,46,46,46,46
PUT,PUT /optimize/config,1,0,23.820200003683567,23.820200003683567,23.820200003683567,23.820200003683567,507.0,0.07131977281214567,0.0,24,24,24,24,24,24,24,24,24,24,24
,Aggregated,2428,0,18,21.023119686805657,6.176700000651181,115.11710000922903,2368.1873970345964,173.1644083878897,0.0,18,22,25,28,33,40,56,75,98,120,120
